name,date,total_distance_used_sum,total_fuel_used_sum,consumption,performance
986,2024-07-01,115.575006,15.321976000000001,7.543087523436925,0.13257170845398875
1038,2024-07-01,167.77017,25.09634,6.685045309395712,0.1495876173934854
502,2024-07-02,1025.26215,68.948892,8.65309582797558,0.06725001210665975
532,2024-07-02,1103.554896,75.81736400000001,14.55543740613298,0.0687028477466879
880,2024-07-02,857.49198,64.193796,13.357863741225085,0.07486226984886786
1187,2024-07-02,123.031458,11.095224,11.088686267172253,0.09018200857214909
844,2024-07-04,115.575006,15.057804,7.675422392269152,0.13028598934271307
1218,2024-07-04,653.682292,45.965928000000005,14.22101805493843,0.07031845372369366
630,2024-07-05,0.0,0.0,"",""
710,2024-07-05,17.398388,1.849204,9.40858228729767,0.10628593867431857
732,2024-07-05,1389.385556,89.290136,8.65309582797558,0.06426591640772751
700,2024-07-06,426.260506,24.832168000000003,8.65309582797558,0.05825584976901426
1228,2024-07-06,1051.3597320000001,72.11895600000001,14.578132994604081,0.0685958894990283
701,2024-07-08,1.242742,11.359396,0.10940211961974035,9.140590725991396
1152,2024-07-08,418.804054,28.002232000000003,8.65309582797558,0.06686237091678202
866,2024-07-09,280.859692,28.794748000000002,9.753851362060885,0.10252360456195331
988,2024-07-09,125.516942,6.340128,8.65309582797558,0.050512129270963275
630,2024-07-10,555.505674,36.719908000000004,8.65309582797558,0.06610176946635472
884,2024-07-10,350.453244,20.869588,8.65309582797558,0.05955027769695863
886,2024-07-11,704.634714,50.456852000000005,13.965094651564865,0.07160710506805942
974,2024-07-11,1768.421866,106.98966,8.65309582797558,0.06050007753070839
1085,2024-07-11,2143.72995,131.029312,8.65309582797558,0.06112211661734726
1086,2024-07-12,1052.602474,71.32644,14.757535550631715,0.06776199159873911
509,2024-07-13,533.136318,34.870704,8.65309582797558,0.06540673149188836
936,2024-07-01,453.60083000000003,28.530576000000003,8.65309582797558,0.062897980146994
990,2024-07-01,29.825808000000002,2.6417200000000003,11.290298744757203,0.08857161556193215
472,2024-07-03,238.60646400000002,20.341244,11.73018051403346,0.08525017997835968
898,2024-07-06,187.654042,12.680256,14.798915889395293,0.06757251730287803
852,2024-07-08,164.041944,13.472772,12.175812371796983,0.08213004352106434
468,2024-07-10,894.77424,47.815132000000006,8.65309582797558,0.053438208055699064
575,2024-07-11,577.87503,35.927392000000005,8.65309582797558,0.062171559826698176
792,2024-07-11,809.025042,48.607648000000005,8.65309582797558,0.060081759496389
921,2024-07-11,909.687144,53.362744000000006,8.65309582797558,0.05866054538855834
714,2024-07-13,536.864544,37.776596000000005,14.211564853540535,0.07036522791864609
824,2024-07-13,1239.013774,77.40239600000001,8.65309582797558,0.06247097298209698
721,2024-07-14,1122.196026,77.13822400000001,14.547859255872938,0.06873863586467557
812,2024-07-14,1079.942798,66.835516,8.65309582797558,0.061888014924286756
863,2024-07-14,1681.429926,90.875168,8.65309582797558,0.05404636053801269
1206,2024-07-14,349.210502,34.078188000000004,10.247331871049012,0.0975863778575594
746,2024-07-01,1026.504892,73.175644,14.027958428353564,0.07128621068471246
982,2024-07-01,1818.131546,118.349056,8.65309582797558,0.06509378062350611
961,2024-07-02,1115.982316,78.723256,14.176018278512261,0.0705416697660288
1014,2024-07-02,1161.96377,71.32644,8.65309582797558,0.06138439238944601
340,2024-07-02,553.02019,36.455736,8.65309582797558,0.06592116645867849
1127,2024-07-02,1412.997654,89.290136,8.65309582797558,0.06319199168323601
1211,2024-07-02,1332.2194240000001,83.478352,8.65309582797558,0.06266111309903855
531,2024-07-03,1144.565382,73.96816000000001,8.65309582797558,0.06462554360219154
632,2024-07-03,1207.945224,79.515772,8.65309582797558,0.06582729946701622
933,2024-07-03,115.575006,14.52946,7.954528661078939,0.12571455112016175
947,2024-07-04,247.305658,13.736944000000001,8.65309582797558,0.05554642021170418
665,2024-07-05,572.904062,40.154144,14.267619850145477,0.07008877517785868
708,2024-07-05,1767.179124,97.74364000000001,8.65309582797558,0.05531054473909687
824,2024-07-05,1111.011348,68.15637600000001,8.65309582797558,0.061346246483163745
927,2024-07-05,538.107286,54.683604,9.840377126569786,0.10162212150385193
531,2024-07-06,329.32663,35.927392000000005,9.16644965490398,0.10909349177137605
521,2024-07-06,1375.715394,94.837748,14.505989682504904,0.06893704062164474
579,2024-07-06,304.47179,26.945544,11.299522845038867,0.08849931220228975
606,2024-07-06,1321.034746,99.06450000000001,13.335097295196563,0.07499007902703568
667,2024-07-06,797.840364,50.19268,8.65309582797558,0.06291068021221348
699,2024-07-07,524.437124,44.116724000000005,11.887490195328192,0.08412204624934218
719,2024-07-07,551.777448,38.833284000000006,14.208879372653623,0.07037852696002175
1176,2024-07-07,541.835512,37.512424,14.444161539654168,0.06923212519152862
423,2024-07-08,554.262932,46.758444000000004,11.85375056535243,0.08436148495674614
1170,2024-07-08,272.160498,26.153028000000003,10.406462226859544,0.09609413633568528
1087,2024-07-09,1507.446046,95.10192,8.65309582797558,0.06308810869374226
1060,2024-07-10,566.690352,41.210832,13.751004881435053,0.07272195804032323
439,2024-07-12,954.4258560000001,1.056688,8.65309582797558,0.0011071451945241517
1011,2024-07-12,55.92339,3.170064,8.65309582797558,0.05668583395963657
403,2024-07-13,21.126614,10.302708,2.050588447231543,0.4876648950939323
809,2024-07-13,1158.2355440000001,58.91035600000001,8.65309582797558,0.05086215520251725
563,2024-07-14,1424.182332,73.70398800000001,8.65309582797558,0.05175179212938025
1092,2024-07-14,1040.175054,84.27086800000001,12.343234129260422,0.08101604405521534
